KLCoeffInner,Step_1-PolicyExecTime,Time-SampleProc,Step_0-MinForwardReturn,Step_1-MaxForwardReturn,Time-InnerStep,Step_1-AverageReturn,Time,Step_0-EnvExecTime,Step_0-AveragePolicyStd,Time-TotalInner,Time-OuterStep,Step_0-MaxForwardReturn,Step_1-EnvExecTime,Step_0-AverageCtrlCost,Step_1-AverageCtrlCost,Itr,Step_1-MinReturn,LossBefore,Step_1-AverageDiscountedReturn,KLInner,Time-MAMLSteps,Step_1-MaxReturn,Step_0-StdReturn,ItrTime,Step_1-AveragePolicyStd,LossAfter,Step_0-AverageReturn,Step_0-StdForwardReturn,Step_1-NumTrajs,Step_0-AverageDiscountedReturn,Step_0-AverageForwardReturn,Step_1-AverageForwardReturn,Step_1-StdForwardReturn,Step_1-MinForwardReturn,n_timesteps,Step_0-MinReturn,Step_0-MaxReturn,Step_0-PolicyExecTime,Step_0-NumTrajs,Time-Sampling,Step_1-StdReturn
0.0005,3.2711639404296875,1.7381300926208496,-5.366412196544773,-0.29424122151587356,2.813117027282715,-584.9176708221296,65.25518202781677,15.34285831451416,1.0,42.85328006744385,21.804938793182373,-0.2066404202827993,15.662448406219482,0.009798164523213635,0.00982210324492131,0,-1025.7947693539845,-1.2740493e-10,-251.56337969544748,0.0073860446,21.80505681037903,-60.84023730669954,186.35950528773864,65.25517916679382,0.99988955,-0.0037240323,-582.6369084928842,0.9317992196001463,800,-250.5055048186073,-2.9033863779412084,-2.914766250865727,0.9382846954103965,-5.119290670489924,320000,-1075.3402104979066,-43.20101162280506,1.4964654445648193,800,38.263920068740845,187.65834567306416
0.0005,2.3505170345306396,1.6272339820861816,-4.983727978395785,-0.26397778031554986,0.14475798606872559,-540.5200101341479,104.61234307289124,14.729867935180664,0.99811727,36.904297828674316,2.3797008991241455,-0.3232843274283951,14.866035223007202,0.00981596296118005,0.009801226698526297,1,-1023.7124120106865,4.712494e-10,-234.54641503255058,0.007816582,2.3798041343688965,-54.662113948816405,200.27999493146243,39.34418511390686,0.9980498,-0.0027869837,-541.1445927493882,1.001405170018699,800,-234.30429017115975,-2.695907000785761,-2.6927988239722134,0.9742303437225917,-5.108290298338952,640000,-998.7290975974914,-66.66067013220456,0.8189446926116943,800,35.090532302856445,194.84947795222905
0.0005,2.4147191047668457,1.6851849555969238,-5.249207864310977,-0.31488900739308145,0.1510481834411621,-528.7206398690028,145.35467195510864,14.761036396026611,0.99598074,38.1366868019104,2.548724889755249,-0.2996190433965895,15.922600984573364,0.009775502567209333,0.009764233477359668,2,-1043.001401251376,-1.5832483e-10,-228.2719087850759,0.007714972,2.5488739013671875,-64.84876907464059,196.46302633673037,40.737987756729126,0.9959842,-0.0025711101,-532.3111765363294,0.9823191588852491,800,-229.07041370366602,-2.6517803801144373,-2.6338389658676538,0.9887261463301985,-5.205387921606232,960000,-1051.92055037644,-61.86088434267591,0.8155605792999268,800,36.257177114486694,197.74341061556893
0.0005,2.276061773300171,1.6997346878051758,-5.019114015774381,-0.1779493645919982,0.15134882926940918,-481.3745294875238,185.3426480293274,15.149192094802856,0.99391013,37.515071392059326,2.4117178916931152,-0.31331368247267943,15.101842403411865,0.009770938907051751,0.009769684249913552,3,-1131.6461937673243,9.376555e-10,-207.76730270971007,0.008595793,2.4118196964263916,-37.526804194907314,204.8514165517937,39.98160219192505,0.9937524,-0.0018035627,-484.96564246950715,1.0242594695964904,800,-208.76272777658878,-2.4150572734404836,-2.397102963187705,1.0186753339292587,-5.648150719333366,1280000,-1005.7094934149737,-64.64084003611868,0.8040125370025635,800,35.61994981765747,203.73576833593944
0.0005,2.350501298904419,1.6327459812164307,-5.097412119968114,-0.44611719199366634,0.14914512634277344,-533.3225378654882,225.01243019104004,14.81661081314087,0.9927154,37.19216728210449,2.420850992202759,-0.5001227790605501,15.083766222000122,0.009770099994072225,0.009748173215560091,4,-979.5575093623804,4.8056226e-11,-230.02544193753536,0.009323229,2.420963764190674,-91.19435419198823,166.13984426219997,39.66488575935364,0.99265105,-0.0022584475,-535.7631178711714,0.8307037054147828,800,-230.31956557949715,-2.6690454893617845,-2.656864516111881,0.8416399266280844,-4.888151321389986,1600000,-1021.531319534829,-101.95330371240603,0.82171630859375,800,35.35703110694885,168.33071242370016
0.0005,2.3720884323120117,1.6733098030090332,-5.200695043741198,-0.28041561502048784,0.15339207649230957,-573.7565446823209,265.295627117157,14.873541593551636,0.9909108,37.71903681755066,2.5078349113464355,-0.3162076627115027,15.384446382522583,0.009794080198654121,0.009805914759867156,5,-1031.0819519824988,6.593761e-11,-247.13310289880872,0.008153695,2.5079381465911865,-58.074988669935706,189.68159102714728,40.27890110015869,0.99117714,-0.0016929426,-577.7262878925678,0.9484140651486441,800,-248.61694108000444,-2.8788373592641845,-2.8589768086517378,0.9444747182748778,-5.1452508136130355,1920000,-1042.108336296945,-65.13487368274963,0.8281314373016357,800,35.848445892333984,188.89278220527876
0.0005,2.338571310043335,1.6402256488800049,-4.7440021024415495,-0.2782459011345874,0.15076398849487305,-508.17743117988374,305.1533319950104,15.131044387817383,0.9892107,37.393301010131836,2.407073736190796,-0.4504390760261882,14.991499900817871,0.009684512011362677,0.009702658171454095,6,-961.103651077876,-4.8808753e-09,-218.07466424840948,0.009958677,2.407181978225708,-57.57038491187163,169.23635290444406,39.8533239364624,0.9892763,-0.0016449143,-508.89411927989886,0.8462024874136116,800,-218.03988066525605,-2.534786084388132,-2.5311844977279647,0.8382426513858098,-4.795570859890515,2240000,-950.824787431895,-91.942906061976,0.8232288360595703,800,35.559828996658325,167.65324291799894
0.0005,2.343730926513672,1.6542108058929443,-5.1796515616730225,-0.3343481668143774,0.1497364044189453,-534.5394191269073,345.0831391811371,14.988779544830322,0.98779905,37.39936304092407,2.4734928607940674,-0.2430657016079671,15.137008905410767,0.009667241380898195,0.009686725730169566,7,-1008.7118969673055,4.99934e-10,-230.46202541517664,0.010788882,2.4735939502716064,-68.8104241093297,204.19127126539578,39.925495862960815,0.9877263,-0.001508689,-533.8520224888936,1.0209487368282488,800,-230.2936226620026,-2.6595928710635697,-2.6630103699043666,1.0103284358711209,-5.033438924814455,2560000,-1037.9863915034077,-50.636448242772055,0.831496000289917,800,35.55196285247803,202.06677082876334
0.0005,2.3422389030456543,1.6684470176696777,-5.222027150022261,-0.20244197602064887,0.14300894737243652,-525.0093780206497,385.2022430896759,14.992813110351562,0.9865672,37.60883593559265,2.445517063140869,-0.23845322081651188,15.096569299697876,0.009637389185683715,0.00963688290087317,8,-1016.4572443148606,2.0705164e-09,-227.67521172871827,0.009005303,2.445629835128784,-42.535298824045,207.24509274076743,40.1147837638855,0.9864979,-0.0011927716,-532.5451173421666,1.0362448994844653,800,-229.99793807126713,-2.653088197525149,-2.6154100072023754,1.0096862392371908,-5.072670003537331,2880000,-1046.2419391286412,-49.79619185648787,0.9340739250183105,800,35.75514578819275,201.937023140837
0.0005,2.34382963180542,1.6699321269989014,-5.3878027282429795,-0.33876773120947734,0.1426229476928711,-507.4825285484018,425.0356411933899,14.912143468856812,0.9857531,37.38042187690735,2.394333839416504,-0.22884781024928322,15.152544021606445,0.009641420118545794,0.009679369664626429,9,-979.0403220195248,-2.4482607e-09,-218.95508280829844,0.010661179,2.39444899559021,-69.74084752443353,201.32405768419883,39.8289520740509,0.98576623,-0.0013270678,-514.402993955174,1.0066123940674092,800,-221.20756182357727,-2.5623735496573246,-2.527733273077382,0.9804275557595259,-4.885531762907241,3200000,-1079.6079715033613,-47.629066840833296,0.8177635669708252,800,35.52417325973511,196.08403321549528
