LossAfter,Step_1-NumTrajs,Step_0-AverageReturn,Step_1-EnvExecTime,Step_0-AveragePolicyStd,Step_1-MaxReturn,Time-Sampling,Step_0-EnvExecTime,Step_0-StdReturn,Time,Step_1-PolicyExecTime,Time-MAMLSteps,Time-TotalInner,Step_1-AveragePolicyStd,Step_0-AverageDiscountedReturn,Itr,Time-SampleProc,KLCoeffInner,Step_1-StdReturn,Step_0-NumTrajs,Time-InnerStep,Step_1-AverageDiscountedReturn,n_timesteps,Step_0-MaxReturn,KLInner,Time-OuterStep,Step_1-MinReturn,Step_0-PolicyExecTime,ItrTime,Step_0-MinReturn,LossBefore,Step_1-AverageReturn
-0.04222705,35,14.668411108835063,0.39566683769226074,1.0,62.67933134130832,1.4970288276672363,0.3374958038330078,6.813917702651285,4.2388832569122314,0.5011661052703857,2.337277889251709,1.8089830875396729,0.998267,13.149913103964375,0,0.017285823822021484,0.0005,12.949878074808503,35,0.294111967086792,16.203175137960454,2000,32.900907561353144,0.030317966,2.337200880050659,4.546161019412115,0.23538494110107422,4.238880157470703,3.828966339882219,6.0805805e-09,18.737599964827666
-0.036826335,28,18.331475958885147,0.4300663471221924,0.99829274,66.27104152177122,1.4327795505523682,0.4044468402862549,9.17578543039465,5.743310213088989,0.39615941047668457,0.04649209976196289,1.4500796794891357,0.9944652,16.13159585822566,1,0.011835336685180664,0.0005,15.062063057154985,32,0.004914283752441406,20.36422433243281,4000,37.32737473708192,0.030872365,0.0463862419128418,4.16841563059063,0.16857600212097168,1.4994192123413086,4.379300756472312,-1.8879565e-08,24.170046231060038
-0.029442947,27,19.475815022823195,0.4303114414215088,0.9967715,45.72543372765073,1.4403002262115479,0.40833044052124023,5.50358942567066,7.250262022018433,0.40926361083984375,0.0411069393157959,1.4593501091003418,0.994636,17.27552268004222,2,0.014624834060668945,0.0005,10.40914238176551,34,0.003888368606567383,21.337772900156804,6000,32.57240923343265,0.06574995,0.04100680351257324,4.832064864318836,0.16033077239990234,1.5032529830932617,5.868840565860129,9.681185e-09,25.07749703104278
-0.033640027,23,28.255188805946656,0.45609569549560547,0.9954544,88.27895010948174,1.413050651550293,0.39089059829711914,14.839238914234047,8.733327150344849,0.3730437755584717,0.04508399963378906,1.4325058460235596,0.9923003,23.58694547760419,3,0.011224031448364258,0.0005,17.099883672125703,27,0.0075511932373046875,27.00807864437055,8000,93.89796824782177,0.061448015,0.04495501518249512,15.449705174263729,0.1615445613861084,1.4801440238952637,16.2819916548632,-2.7623319e-08,33.41417216285777
-0.03310025,24,31.03003080098225,0.41667819023132324,0.9946229,80.45905766313192,1.4042279720306396,0.40364599227905273,14.165204236752324,10.201763153076172,0.3844795227050781,0.04232597351074219,1.4189860820770264,0.99431485,25.63889591109393,4,0.009440183639526367,0.0005,14.785253252709412,27,0.004773378372192383,27.045633609089872,10000,73.03174198125845,0.04793012,0.04223775863647461,11.887695533320235,0.16751456260681152,1.465569019317627,9.258655279264966,4.5216268e-08,33.16435620270587
-0.02555708,19,33.163359673276716,0.4109675884246826,0.9940232,86.3263100710287,1.3829729557037354,0.40858983993530273,14.069779772012648,11.644740104675293,0.3748183250427246,0.04122304916381836,1.3962171077728271,0.99100983,27.06239936367516,5,0.00871896743774414,0.0005,20.55831300666806,26,0.004012107849121094,34.480975672011674,12000,66.52931342417867,0.033700503,0.0411531925201416,18.146570063988143,0.15727591514587402,1.4399709701538086,14.000566560164952,4.157922e-08,45.01641107251659
-0.035178635,17,65.30745291588596,0.38513731956481934,0.99308646,136.36757814297837,1.3059828281402588,0.3752174377441406,37.74369022078444,13.011358261108398,0.37016868591308594,0.04244709014892578,1.3191192150115967,0.987332,46.87217838477586,6,0.00873112678527832,0.0005,36.86790228174326,17,0.003918647766113281,39.82745883691203,14000,137.25413490800037,0.035889562,0.04237222671508789,24.667484995271572,0.14858078956604004,1.3637800216674805,24.79639108941491,-5.5724954e-09,54.95382206584769
-0.030330835,19,58.43013084913978,0.40920567512512207,0.9930624,135.61397302032736,1.315885305404663,0.389087438583374,28.62129712216332,14.388919115066528,0.345750093460083,0.04214787483215332,1.3302860260009766,0.9893921,43.310498499137786,7,0.008777856826782227,0.0005,30.903360709267844,20,0.005121946334838867,40.349741634994245,16000,129.74604819399383,0.04351414,0.042079925537109375,13.590201591538944,0.14602279663085938,1.3746659755706787,19.39054928273698,-9.913395e-10,54.05570857065101
-0.02318429,18,79.48084817905047,0.4596109390258789,0.99291605,140.599665198366,1.4501478672027588,0.42719483375549316,39.37827554627317,15.900104284286499,0.36971449851989746,0.04229116439819336,1.463352918624878,0.992553,54.247956447961506,8,0.00887918472290039,0.0005,34.460257094146506,17,0.003838777542114258,49.02601447624226,18000,142.55987093217536,0.04134877,0.042196035385131836,29.715858397850837,0.16582822799682617,1.5078110694885254,21.908371096149697,1.2031842e-08,68.69943192752785
-0.029088404,13,79.91124117899605,0.44574856758117676,0.9923128,160.35671449249446,1.4385309219360352,0.393155574798584,41.68511783823747,17.399397134780884,0.41756558418273926,0.04147005081176758,1.4521241188049316,0.9887495,54.17381149844064,9,0.008992910385131836,0.0005,38.2937904626065,16,0.004177093505859375,70.6049232165377,20000,150.12380981188429,0.045860924,0.04138588905334473,39.585379194613246,0.15383362770080566,1.4964020252227783,25.060469818666704,9.593892e-09,110.65144566523256
